Song-Name,Singer/Artists,Genre,Album/Movie,emotion,videoId,channelTitle
Maula Mere Maula,Roop Kumar Rathod,BollywoodRomantic,Anwar,love,boRd0WoCemI,https://i.ytimg.com/vi/boRd0WoCemI/hqdefault.jpg
Raah Mein Unse Mulaqat,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Vijaypath,love,vYGPudMvxvI,https://i.ytimg.com/vi/vYGPudMvxvI/hqdefault.jpg
Resham Ka Rumaal,"Sonia Sharma, Toshi Sabri",BollywoodDance,Great Grand Masti,joy,YK5ft2xmyaM,https://i.ytimg.com/vi/YK5ft2xmyaM/hqdefault.jpg
Twist Kamariya,"Altamash Faridi, Harshdeep Kaur, Tanishk Baagchi, Yasser Desai",BollywoodDance,Bareilly Ki Bafi,joy,emdoqHkeAE8,https://i.ytimg.com/vi/emdoqHkeAE8/hqdefault.jpg
Ram Chahe Leela,Bhoomi Trivedi,BollywoodDance,Ramleela,joy,BDSsW194IJU,https://i.ytimg.com/vi/BDSsW194IJU/hqdefault.jpg
Ram Chahe Leela,Bhoomi Trivedi,BollywoodDance,Goliyon Ki Rasleela Ram-leela,joy,BDSsW194IJU,https://i.ytimg.com/vi/BDSsW194IJU/hqdefault.jpg
Kukkad Kamaal Da,"Marianne, Nisha Mascarenhas, Shahid Mallya",BollywoodDance,Student of the Year,joy,1Na8nKEUjYI,https://i.ytimg.com/vi/1Na8nKEUjYI/hqdefault.jpg
Aa Jao Na,"Arijit Singh, Shashwat Sachdev",BollywoodSad,Veere Di Wedding,sadness,WQRr8jnUZiU,https://i.ytimg.com/vi/WQRr8jnUZiU/hqdefault.jpg
Banjaara,"Mohammed Irfan, Shashaa Tirupati",BollywoodRomantic,Ek Villain,love,0NFxcNheoLc,https://i.ytimg.com/vi/0NFxcNheoLc/hqdefault.jpg
Radha Kaise Na Jale,"Asha Bhosle, Udit Narayan",BollywoodDanceRomantic,Lagaan,love,qNnvL0ztJhA,https://i.ytimg.com/vi/qNnvL0ztJhA/hqdefault.jpg
Bewajah,Himesh Reshammiya,BollywoodSad,Sanam Teri Kasam,sadness,gBvwiYnzlhw,https://i.ytimg.com/vi/gBvwiYnzlhw/hqdefault.jpg
London Thumakda,"Labh Janjua, Neha Kakkar, Sonu Kakkar",BollywoodDance,Queen,joy,udra3Mfw2oo,https://i.ytimg.com/vi/udra3Mfw2oo/hqdefault.jpg
Deva Shree Ganesha,Ajay Gogavale,Bollywood Devotional,Agneepath,fear,RYqJ5w-GrfM,https://i.ytimg.com/vi/KYUURuT4W5Y/maxresdefault.jpg
Kheench Meri Photo,"Akasa Singh, Darshan Raval, Neeti Mohan",BollywoodDance,Sanam Teri Kasam,joy,pO-b3u3DCCs,https://i.ytimg.com/vi/pO-b3u3DCCs/hqdefault.jpg
Aayega Maza Ab Barsaat Ka,"Alka Yagnik, Babul Supriyo",BollywoodRomantic,Andaaz,love,Rcu2AAjdTjE,https://i.ytimg.com/vi/Rcu2AAjdTjE/hqdefault.jpg
